"sepal.length" "sepal.width" "petal.length" "petal.width" "New.Feature.1" "New.Feature.2" "class" "New.Feature.3" "New.Feature.4"
"62" 5.9 3 4.2 1.5 1.607941279 3.954652608 2 4.98098519377963 1.58886382333764
"63" 6 2.2 4 1 1.29044212 3.341622973 2 4.05718150005506 1.31679278601369
"64" 6.1 2.9 4.7 1.4 1.307353522 3.287308483 2 4.10180456964607 1.29555573686671
"65" 5.6 2.9 3.6 1.3 1.421204291 3.538138886 2 4.6350997277524 1.44619118291909
"66" 6.7 3.1 4.4 1.4 1.349818582 3.602874024 2 4.40795874397746 1.35828091763041
"67" 5.6 3 4.5 1.5 1.153334029 3.055760847 2 3.60668079439876 1.10006806292457
"68" 5.8 2.7 4.1 1 1.293767136 3.455290506 2 3.88398207236877 1.19244238379829
"69" 6.2 2.2 4.5 1.5 1.481827641 3.776181935 2 3.76458833779262 1.12650382927647
"70" 5.6 2.5 3.9 1.1 1.472725824 3.580554974 2 4.65409179878585 1.48445309112454
"71" 5.9 3.2 4.8 1.8 1.274665811 3.427418674 2 4.19431142125522 1.29305486240905
"72" 6.1 2.8 4 1.3 1.577836179 3.864772686 2 4.46700868841162 1.37439258371521
"73" 6.3 2.5 4.9 1.5 1.490223769 3.705424262 2 4.29747067640436 1.34839752634911
"74" 6.1 2.8 4.7 1.2 1.368105064 3.299034828 2 4.93036522806609 1.61263962908693
"75" 6.4 2.9 4.3 1.3 1.618382238 3.962622849 2 4.13291825070425 1.30420008195287
"76" 6.6 3 4.4 1.4 1.231738874 3.332049467 2 3.64887026162327 1.13591454453053
"77" 6.8 2.8 4.8 1.4 1.289028459 3.207606563 2 4.90216884150635 1.58901197071759
"78" 6.7 3 5 1.7 1.362725171 3.34123394 2 5.05899506907267 1.63153691029721
"79" 6 2.9 4.5 1.5 1.61105845 3.924067144 2 4.47796316177125 1.44279278103207
"80" 5.7 2.6 3.5 1 1.417759419 3.683451562 2 3.51863796376199 1.02377780437338
"81" 5.5 2.4 3.8 1.1 1.247932324 3.253617336 2 4.13523275417073 1.27913661693738
"82" 5.5 2.4 3.7 1 1.181371933 3.146537187 2 5.03764720501417 1.60191256574022
"83" 5.8 2.7 3.9 1.2 1.461590445 3.68175528 2 4.15885608468546 1.34592566783895
"84" 6 2.7 5.1 1.6 1.313325981 3.576357781 2 5.32068031719921 1.74653900823554
"85" 5.4 3 4.5 1.5 1.23287793 3.151075413 2 4.2601696565389 1.26745857323176
"86" 6 3.4 4.5 1.6 1.657536478 4.112048422 2 4.95203232508035 1.57024314643535
"87" 6.7 3.1 4.7 1.5 1.283896954 3.327672145 2 3.73223831505135 1.17796222949951
"88" 6.3 2.3 4.4 1.3 1.488285983 3.863774131 2 4.26749482129566 1.29688902618956
"89" 5.6 3 4.1 1.3 1.465484812 3.655022283 2 4.96750631691049 1.5400485907937
"90" 5.5 2.5 4 1.3 1.158703289 2.999361469 2 3.63936767713738 1.14660318971222
"91" 5.5 2.6 4.4 1.2 1.244883427 3.310738062 2 4.11756947944612 1.33034448471487
"92" 6.1 3 4.6 1.4 1.235354631 3.231258426 2 4.68084551825981 1.43157508175944
"93" 5.8 2.6 4 1.2 1.358843732 3.600855525 2 4.6095548095183 1.42644143594605
"94" 5 2.3 3.3 1 1.227178914 3.225726042 2 4.75714355363718 1.48782923711325
"95" 5.6 2.7 4.2 1.3 1.324863608 3.31325475 2 4.62300795710483 1.50105131043846
"96" 5.7 3 4.2 1.2 1.219522757 3.162593981 2 4.09762206094458 1.25747281926961
"97" 5.7 2.9 4.2 1.3 1.649197644 4.110244738 2 4.71253506136648 1.48159506880984
"98" 6.2 2.9 4.3 1.3 1.321850166 3.26443383 2 4.66434944859588 1.41519352554274
"99" 5.1 2.5 3 1.1 1.412758067 3.454965665 2 3.35109496275816 0.959327836189416
"100" 5.7 2.8 4.1 1.3 1.266084114 3.247330019 2 3.99085021509854 1.27025905945922
"101" 6.3 3.3 6 2.5 1.229861123 4.178191541 3 4.92974630966052 1.78211909933224
"102" 5.8 2.7 5.1 1.9 1.501983512 4.876983751 3 4.76069956044214 1.65626653103699
"103" 7.1 3 5.9 2.1 1.168222561 4.168819686 3 5.47407079847807 1.83073337534256
"104" 6.3 2.9 5.6 1.8 1.464095294 4.877883083 3 4.3119734550898 1.61483608576357
"105" 6.5 3 5.8 2.2 1.320332841 4.432048902 3 5.41054434086893 2.06164249454902
"106" 7.6 3 6.6 2.1 1.430539248 4.65269466 3 5.31811003631107 1.81029781132169
"107" 4.9 2.5 4.5 1.7 1.179814379 4.171285021 3 6.04862923329789 1.8737369822351
"108" 7.3 2.9 6.3 1.8 1.488836657 4.943551827 3 5.03992557537902 1.7360489252907
"109" 6.7 2.5 5.8 1.8 1.558915569 5.093263795 3 5.59806230102966 2.10511667479997
"110" 7.2 3.6 6.1 2.5 1.345698394 4.600503483 3 4.55809197692028 1.62267423966402
"111" 6.5 3.2 5.1 2 1.221435789 4.222769295 3 5.73328821041849 2.04144933474297
"112" 6.4 2.7 5.3 1.9 1.39616047 4.729224649 3 6.41339576914401 2.30947757263844
"113" 6.8 3 5.5 2.1 1.385219642 4.549018095 3 5.10437706367769 2.25120988750033
"114" 5.7 2.5 5 2 1.346744896 4.516979068 3 5.27663439590196 2.09207954388492
"115" 5.8 2.8 5.1 2.4 1.380276572 4.706241924 3 6.0526868699226 2.09544518721671
"116" 6.4 3.2 5.3 2.3 1.310485899 4.564414789 3 5.79747475699005 1.98212800483375
"117" 6.5 3 5.5 1.8 1.342560878 4.585719946 3 4.732562735798 1.82688629004691
"118" 7.7 3.8 6.7 2.2 1.403816831 4.815113267 3 5.09154368221542 1.89480725944072
"119" 7.7 2.6 6.9 2.3 1.179472729 4.177202915 3 5.01996374479041 1.74230568772852
"120" 6 2.2 5 1.5 1.460191001 4.757025813 3 5.9759961153144 2.25053032555027
"121" 6.9 3.2 5.7 2.3 1.506398011 4.89285224 3 5.50204709147855 1.95779741066146
"122" 5.6 2.8 4.9 2 1.306513586 4.554019169 3 5.88520468219524 1.97982657468825
"123" 7.7 2.8 6.7 2 1.404968637 4.624270451 3 5.56906306208916 2.0818847385663
"124" 6.3 2.7 4.9 1.8 1.437719694 4.633127311 3 6.21898865626765 2.48850824894974
"125" 6.7 3.3 5.7 2.1 1.596272415 5.10483803 3 5.32236801966711 2.09159721659407
"126" 7.2 3.2 6 1.8 1.430233923 4.693037456 3 4.71806865011502 1.9398743993287
"127" 6.2 2.8 4.8 1.8 1.220360942 4.172509057 3 6.22763039156805 2.41454747351777
"128" 6.1 3 4.9 1.8 1.417939625 4.721914436 3 6.46146535363434 2.40718791795568
"129" 6.4 2.8 5.6 2.1 1.476429259 4.860868096 3 5.69403958662478 2.28752386624824
"130" 7.2 3 5.8 1.6 1.120668329 3.994187498 3 4.76751665461976 1.58410609655704
"131" 7.4 2.8 6.1 1.9 1.327588005 4.494880303 3 5.40729360403989 1.97046913036979
"132" 7.9 3.8 6.4 2 1.542274283 4.989385812 3 6.50522522185154 2.29591024167331
"133" 6.4 2.8 5.6 2.2 1.150043577 4.053019925 3 5.25102217894584 2.25380035767622
"134" 6.3 2.8 5.1 1.5 1.412454593 4.662782541 3 6.7119734550898 2.60237796332098
"135" 6.1 2.6 5.6 1.4 1.401033045 4.702212203 3 5.73805238274342 1.75001204645719
"136" 7.7 3 6.1 2.3 1.211413006 4.16572545 3 6.404380296983 2.26010428320481
"137" 6.3 3.4 5.6 2.4 1.26947767 4.515549918 3 4.78071854561872 2.02754321433855
"138" 6.4 3.1 5.5 1.8 1.412603203 4.593120585 3 5.66194034106265 1.87894585196584
"139" 6 3 4.8 1.8 1.488618989 4.857392838 3 6.53651588033286 2.0973794860619
"140" 6.9 3.1 5.4 2.1 1.270318836 4.378299053 3 4.66183117686223 2.00280770964218
"141" 6.7 3.1 5.6 2.4 1.491014734 4.753491003 3 5.20337115293094 2.23507767651305
"142" 6.9 3.1 5.1 2.3 1.46911371 4.710281358 3 6.20658655852148 1.96601650386353
"143" 5.8 2.7 5.1 1.9 1.273977168 4.309591211 3 6.0552640573422 2.03624038179283
"144" 6.8 3.2 5.9 2.3 1.37168857 4.660687366 3 6.20756174733152 2.12996826862397
"145" 6.7 3.3 5.7 2.5 1.409967928 4.520793142 3 5.85028042572333 2.36987991784618
"146" 6.7 3 5.2 2.3 1.491191067 4.936018265 3 5.38757447788532 1.91822608595691
"147" 6.3 2.5 5 1.9 1.259320201 4.360127366 3 6.12245867282352 2.15967431019118
"148" 6.5 3 5.2 2 1.419001833 4.583592166 3 6.2197557885258 1.91069490619503
"149" 6.2 3.4 5.4 2.3 1.131173224 4.027495265 3 4.57801804200022 1.50237796332098
"150" 5.9 3 5.1 1.8 1.22854427 4.334454004 3 5.0960069134756 2.11984844499891
